"","YEAR","Stock","Lat_mean","Lon_mean","Lat_rotated","Lon_rotated","along_mean","cross_mean","Distance","Max_Lat","Min_Lat","mDepth","mSST","mBT","STRAT_BIOMASS"
"1",1968,"15",41.355051,-70.285874,41.415554,-69.747904,776.98342,-164.90763,847.372659019258,44.283333,35.85,92.0985322915107,13.1623966244546,9.98118719361801,0.955064856424853
"2",1969,"15",41.3502,-70.415426,41.37706,-69.789367,767.28479,-160.13595,841.885395258951,44.266667,38.633333,95.7446707402852,13.3285745273265,10.6333587146973,0.8834669237875
"3",1970,"15",41.637325,-69.9345,41.561079,-69.553648,816.30769,-175.80873,869.897268693925,44.3,39.3,96.849802820958,12.8262840024404,9.75689666521189,0.892341844906959
"4",1971,"15",41.92078,-69.534809,41.812525,-69.106361,874.4562,-189.77973,914.264505273344,44.25,39.033333,104.592301222335,14.1271000507733,10.1767318035543,0.560769181863612
"5",1972,"15",41.674041,-69.539888,41.545541,-69.245059,852.36874,-165.7053,883.533712563791,44.1,39.566667,100.889775160361,12.8763764904769,10.9864350082051,0.492516407778304
"6",1973,"15",41.976492,-68.705113,41.857449,-68.208578,940.12447,-172.90684,964.228895898273,44.283333,40.1,108.359390324298,12.5889384046445,11.2092712370412,0.398738641142864
"7",1974,"15",42.033452,-69.143458,41.885484,-68.677631,906.6657,-186.50047,942.158965786501,44.183333,40.433333,109.561559365158,12.9717554044314,11.0059087558691,0.35755373542105
"8",1975,"15",41.231704,-70.197721,41.270908,-69.750543,772.78541,-147.8078,834.058741716424,44.3,38.75,83.701862924913,14.1546553173699,10.8793077219713,0.528491515608602
"9",1976,"15",41.766641,-68.742733,41.699003,-68.507023,914.9886,-161.72933,934.832308558672,44.233333,40.116667,93.6145064580797,11.6568053943424,11.4725857219489,0.468922919706007
"10",1977,"15",41.643496,-69.026645,41.54092,-68.771362,892.57077,-151.30437,907.307891116809,44.2,38.216667,92.5421041035301,12.0543549629068,10.8771627661398,0.48829400071241
"11",1978,"15",41.468634,-68.775411,41.378962,-68.510595,906.01369,-128.45225,907.45558144814,44.166667,38.166667,88.7663065648636,12.8248751017501,10.9929966162273,0.425274709343162
"12",1979,"15",41.658649,-68.687158,41.535465,-68.226966,932.08814,-137.98079,936.132958255242,44.25,39.05,89.2066005101796,12.9668221451731,11.67236452222,0.429419283906821
