"","YEAR","Stock","Lat_mean","Lon_mean","Lat_rotated","Lon_rotated","along_mean","cross_mean","Distance","Max_Lat","Min_Lat","mDepth","mSST","mBT","STRAT_BIOMASS"
"1",1968,"15",39.286802,-71.997701,39.886308,-72.594892,545.22864,-69.129364,582.514184073569,43.583333,35.633333,119.696321128871,5.37492884887889,6.8959089431332,0.586755982871895
"2",1969,"15",39.830069,-71.254639,40.585778,-71.49253,634.40203,-84.159438,692.526738925714,44.033333,35.833333,131.595236315169,5.26155290986351,6.92287199634953,0.782313022118431
"3",1970,"15",40.242785,-71.160586,40.711106,-71.000008,666.60593,-90.725347,724.86910533024,43.75,35.933333,127.746551126946,5.83961046241109,7.08495396222701,0.613565006502436
"4",1971,"15",39.853873,-71.377674,40.499675,-71.687732,623.59056,-79.24566,676.48466483532,44.066667,35.683333,120.27052921906,5.36922883165125,7.3418723587056,0.753053238110588
"5",1972,"15",40.074942,-70.959645,40.630996,-70.880099,675.87251,-79.201654,722.431844611188,44.2,35.7,114.29577034127,6.21024313835035,7.78587545917729,0.980373484727672
"6",1973,"15",40.072402,-71.081209,40.667947,-71.068447,662.29126,-85.930725,717.818298005931,44.3,35.933333,114.821651829638,5.80922794172188,7.63568494607039,1.0118780077199
"7",1974,"15",40.610977,-70.475292,40.852127,-70.089432,737.64822,-102.99244,779.631147676232,43.75,36.766667,102.891444966307,6.8415747363756,8.01587159618769,1.0177733489994
"8",1975,"15",40.499222,-70.487133,40.726207,-70.088628,736.13714,-87.666819,768.279275379225,43.716667,36.65,105.392932711921,5.52055785416611,7.41732273690286,0.880520399588541
"9",1976,"15",40.557734,-70.26167,40.799179,-69.882637,755.84683,-96.148244,785.084594993829,43.866667,36.116667,109.160232537634,6.60078969904649,7.79238206090028,0.955714411564436
"10",1977,"15",40.434321,-70.750606,40.921713,-70.416672,709.3872,-110.46497,770.593642057777,44.333333,35.816667,110.523552373837,7.00538358605019,6.65147811853732,0.689233738502297
"11",1978,"15",40.084884,-70.738436,40.608769,-70.658975,692.88223,-75.321736,730.303194903791,44.016667,35.766667,117.162155442583,5.43860401392168,6.10351846854453,0.696411286755403
"12",1979,"15",40.336038,-70.178141,40.618637,-69.995977,745.77884,-75.651808,763.284987204304,43.316667,36.083333,92.8267587920089,5.99282845249407,6.5921563447064,0.531000725204268
"13",1980,"15",40.372202,-70.244723,40.564559,-70.025991,742.4533,-69.675864,756.956081713193,43.783333,35.833333,104.754009551412,6.6388819112392,7.3529157993085,0.746403103257944
"14",1981,"15",40.054425,-70.612702,40.592383,-70.621609,695.33536,-73.771251,730.503672488148,43.566667,35.6,107.558402338977,6.71633255406649,7.04503805072902,1.4651152525596
"15",1982,"15",40.268453,-70.623161,40.723863,-70.412294,709.15014,-87.561696,752.454086194812,43.666667,35.85,136.877482155461,5.59854260113324,7.09002130822088,1.17843603048699
"16",1983,"15",39.152039,-71.839134,39.711704,-72.364029,549.22853,-42.539264,572.627101944043,43.516667,35.533333,104.484815900852,7.43677298304008,8.23337506066028,0.902035844245421
"17",1984,"15",39.582566,-71.485735,40.196502,-71.718199,614.06129,-49.453356,645.344661649807,43.633333,36.566667,111.540698660595,6.43102284216023,7.72972420442403,0.726639319320194
"18",1985,"15",39.86051,-70.991583,40.38192,-71.026232,663.27933,-54.662748,692.379095133912,43.816667,36.1,122.135578316871,6.77012822034437,8.53448790996475,1.17100561386949
"19",1986,"15",40.369491,-70.358771,40.618407,-70.057038,740.07902,-75.942905,760.181378809415,44.166667,36.133333,124.984956708834,7.05391548227218,8.25028140482687,1.19953117263368
"20",1987,"15",39.82884,-71.134102,40.461734,-71.256635,647.22513,-66.472057,690.023472126237,43.566667,35.533333,118.139317311045,6.37151280686331,7.44003720518242,1.3441984439042
"21",1988,"15",40.075677,-71.254,40.63319,-71.33416,645.1486,-86.410312,703.47004354869,43.633333,35.716667,108.127337879578,5.21648706164624,7.51747432429666,1.11091762269559
